Invoice ,Date,Due Date,Reference,Combined,Gross,Balance,Status,Source,Invoice Sent,matches
INV-94134,01 Jan 2024,01 Jan 2024,Alaska Common: Security Camera Monitoring,INV-94134Alaska Common: Security Camera Monitoring,26.23,0,Paid,Receivable Invoice,Sent,
INV-94039,02 Jan 2024,24 Jan 2024,Alaska Common JB: 26747,INV-94039Alaska Common JB: 26747,"1,377.84",0,Paid,Receivable Invoice,Sent,
INV-93628,05 Jan 2024,05 Jan 2024,Alaska 320B JB:28254,INV-93628Alaska 320B JB:28254,62,0,Paid,Receivable Invoice,Sent,
INV-93557,05 Jan 2024,05 Jan 2024,Alaska 100E JB:28305,INV-93557Alaska 100E JB:28305,40.08,0,Paid,Receivable Invoice,Sent,
INV-93590,07 Jan 2024,07 Jan 2024,Alaska Common JB:28322,INV-93590Alaska Common JB:28322,62,0,Paid,Receivable Invoice,Sent,
INV-93599,07 Jan 2024,07 Jan 2024,Alaska common JB:28314,INV-93599Alaska common JB:28314,18.13,0,Paid,Receivable Invoice,Sent,
INV-93668,09 Jan 2024,09 Jan 2024,Alaska 400 JB:28349,INV-93668Alaska 400 JB:28349,31,0,Paid,Receivable Invoice,Sent,
INV-93718,09 Jan 2024,10 Jan 2024,Alaska 312 JB:28348,INV-93718Alaska 312 JB:28348,248,0,Paid,Receivable Invoice,Sent,
INV-93726,09 Jan 2024,09 Jan 2024,Alaska Common JB:28398,INV-93726Alaska Common JB:28398,31,0,Paid,Receivable Invoice,Sent,
INV-93699,09 Jan 2024,09 Jan 2024,Alaska Common JB:28353,INV-93699Alaska Common JB:28353,16.81,0,Paid,Receivable Invoice,Sent,
INV-93673,10 Jan 2024,15 Jan 2024,Alaska 2023 management fees,INV-93673Alaska 2023 management fees,"1,831.55",0,Paid,Receivable Invoice,Sent,
INV-93755,10 Jan 2024,10 Jan 2024,Alaska common JB:28395,INV-93755Alaska common JB:28395,32.31,0,Paid,Receivable Invoice,Sent,
INV-93820,12 Jan 2024,15 Jan 2024,Alaska common JB:28423,INV-93820Alaska common JB:28423,167.04,0,Paid,Receivable Invoice,Sent,
