Invoice_Desc,Payment_Desc,Similarity,TextScore,NumberScore,Confidence
INV-95362Alaska Common: True-up 1st QTR 2024 management fees,Alaska Common: True-up 1st QTR 2024 management fees INV-95362,0.950,0.834,1.000,high
INV-98474Alaska Center 101: Tradify JB31761,Alaska Center 101: JB31761,0.914,0.712,1.000,high
INV-98540Alaska Common: Tradify JB29927,Alaska Common: JB29927,0.895,0.649,1.000,high
INV-98535Alaska Common  Tradify JB30626,Alaska Common  JB30626,0.895,0.649,1.000,high
INV-98533Alaska Common: Tradify JB30720,Alaska Common: JB30720,0.895,0.649,1.000,high
INV-98532Alaska Common: Tradify JB30737,Alaska Common: JB30737,0.895,0.649,1.000,high
INV-98531Alaska Common: Tradify JB30743,Alaska Common: JB30743,0.895,0.649,1.000,high
INV-98530Alaska Common: Tradify JB30832,Alaska Common: JB30832,0.895,0.649,1.000,high
INV-98528Alaska Common: Tradify JB30931,Alaska Common: JB30931,0.895,0.649,1.000,high
INV-98527Alaska Common: Tradify JB30935,Alaska Common: JB30935,0.895,0.649,1.000,high
INV-98526Alaska Common: Tradify JB30969,Alaska Common: JB30969,0.895,0.649,1.000,high
INV-98525Alaska Common: Tradify JB30976,Alaska Common: JB30976,0.895,0.649,1.000,high
INV-98522Alaska Common: Tradify JB31073,Alaska Common: JB31073,0.895,0.649,1.000,high
INV-98492Alaska Common: Tradify JB31150,Alaska Common: JB31150,0.895,0.649,1.000,high
INV-98490Alaska Common: Tradify JB31207,Alaska Common: JB31207,0.895,0.649,1.000,high
INV-98489Alaska Common: Tradify JB31298,Alaska Common: JB31298,0.895,0.649,1.000,high
INV-98488Alaska Common: Tradify JB31316,Alaska Common: JB31316,0.895,0.649,1.000,high
INV-98486Alaska Common: Tradify JB31395,Alaska Common: JB31395,0.895,0.649,1.000,high
INV-98485Alaska Common: Tradify JB31408,Alaska Common: JB31408,0.895,0.649,1.000,high
INV-98569Alaska Common: Tradify JB31529,Alaska Common: JB31529,0.895,0.649,1.000,high
INV-98480alaska common: Tradify JB31616,alaska common: JB31616,0.895,0.649,1.000,high
INV-98481Alaska Common: Tradify JB31615,Alaska Common: JB31615,0.895,0.649,1.000,high
INV-98478Alaska Common: Tradify JB31619,Alaska Common: JB31619,0.895,0.649,1.000,high
INV-98491Alaska Common: Tradify JB31165,Alaska Common: JB31165,0.895,0.649,1.000,high
INV-98476Alaska Common: Tradify JB31716,Alaska Common: JB31716,0.895,0.649,1.000,high
INV-98475Alaska Common: Tradify JB31729,Alaska Common: JB31729,0.895,0.649,1.000,high
INV-98471Alaska Common: Tradify JB31870,Alaska Common: JB31870,0.895,0.649,1.000,high
INV-98468alaska common: Tradify JB31957,Alaska common: JB31957,0.895,0.649,1.000,high
INV-98479Alaska Common: Tradify JB31617,Alaska Common: JB31617,0.895,0.649,1.000,high
INV-98487Alaska Common: Tradify JB31344,Alaska Common: JB31344,0.895,0.649,1.000,high
INV-98534Alaska Common Tradify JB30679,Alaska Common JB30679,0.893,0.645,1.000,high
INV-98523Alaska Common Tradify JB30983,Alaska Common JB30983,0.893,0.645,1.000,high
INV-95766Alaska 2024 management fees,Alaska Center 2024 management fees INV-95766,0.893,0.644,1.000,high
INV-98529Alaska 440B: Tradify JB30841,Alaska 440B: JB30841,0.892,0.640,1.000,high
INV-98538Alaska 312: Tradify JB30420,Alaska 312: JB30420,0.890,0.634,1.000,high
INV-98537Alaska 311: Tradify JB30463,Alaska 311: JB30463,0.890,0.634,1.000,high
INV-98536Alaska 400: Tradify JB30625,Alaska 400: JB30625,0.890,0.634,1.000,high
INV-98484Alaska 100: Tradify JB31464,Alaska 100: JB31464,0.890,0.634,1.000,high
INV-98483alaska 104: Tradify JB31471,alaska 104: JB31471,0.890,0.634,1.000,high
INV-98495Alaska 440: Tradify JB31074,Alaska 440: JB31074,0.890,0.634,1.000,high
INV-97585Alaska 104: JB31148 (jasen),Alaska 104: JB31148,0.890,0.634,1.000,high
INV-98477Alaska 270: Tradify JB31620,Alaska 270: JB31620,0.890,0.634,1.000,high
INV-98575Alaska 101: Tradify JB31642,Alaska 101: JB31642,0.890,0.634,1.000,high
INV-98472Alaska 312: Tradify JB31787,Alaska 312: JB31787,0.890,0.634,1.000,high
INV-98473Alaska 270: Tradify JB31776,Alaska 270: JB31776,0.890,0.634,1.000,high
INV-98470Alaska 440: Tradify JB31907,Alaska 440: JB31907,0.890,0.634,1.000,high
